dataset_id,field_path,field_type,definition,source_ref,coder_b_value
eICU-CRD,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/eICU-CRD.txt,
eICU-CRD,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/eICU-CRD.txt,
eICU-CRD,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/eICU-CRD.txt,
eICU-CRD,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/eICU-CRD.txt,
eICU-CRD,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/eICU-CRD.txt,
HAM10000,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/HAM10000.txt,
HAM10000,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/HAM10000.txt,
HAM10000,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/HAM10000.txt,
HAM10000,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/HAM10000.txt,
HAM10000,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/HAM10000.txt,
ISIC 2024/历年,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/ISIC_2024_历年.txt,
ISIC 2024/历年,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/ISIC_2024_历年.txt,
ISIC 2024/历年,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/ISIC_2024_历年.txt,
ISIC 2024/历年,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/ISIC_2024_历年.txt,
ISIC 2024/历年,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/ISIC_2024_历年.txt,
MedMCQA,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/MedMCQA.txt,
MedMCQA,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/MedMCQA.txt,
MedMCQA,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/MedMCQA.txt,
MedMCQA,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/MedMCQA.txt,
MedMCQA,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/MedMCQA.txt,
MedMNIST,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/MedMNIST.txt,
MedMNIST,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/MedMNIST.txt,
MedMNIST,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/MedMNIST.txt,
MedMNIST,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/MedMNIST.txt,
MedMNIST,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/MedMNIST.txt,
MedQA,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/MedQA.txt,
MedQA,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/MedQA.txt,
MedQA,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/MedQA.txt,
MedQA,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/MedQA.txt,
MedQA,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/MedQA.txt,
MIMIC-CXR,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/MIMIC-CXR.txt,
MIMIC-CXR,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/MIMIC-CXR.txt,
MIMIC-CXR,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/MIMIC-CXR.txt,
MIMIC-CXR,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/MIMIC-CXR.txt,
MIMIC-CXR,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/MIMIC-CXR.txt,
MIMIC-IV,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/MIMIC-IV.txt,
MIMIC-IV,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/MIMIC-IV.txt,
MIMIC-IV,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/MIMIC-IV.txt,
MIMIC-IV,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/MIMIC-IV.txt,
MIMIC-IV,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/MIMIC-IV.txt,
NIH ChestX-ray14,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/NIH_ChestX-ray14.txt,
NIH ChestX-ray14,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/NIH_ChestX-ray14.txt,
NIH ChestX-ray14,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/NIH_ChestX-ray14.txt,
NIH ChestX-ray14,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/NIH_ChestX-ray14.txt,
NIH ChestX-ray14,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/NIH_ChestX-ray14.txt,
NIH DeepLesion,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/NIH_DeepLesion.txt,
NIH DeepLesion,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/NIH_DeepLesion.txt,
NIH DeepLesion,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/NIH_DeepLesion.txt,
NIH DeepLesion,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/NIH_DeepLesion.txt,
NIH DeepLesion,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/NIH_DeepLesion.txt,
PadChest,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/PadChest.txt,
PadChest,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/PadChest.txt,
PadChest,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/PadChest.txt,
PadChest,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/PadChest.txt,
PadChest,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/PadChest.txt,
PhysioNet/CinC 2020,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/PhysioNet_CinC_2020.txt,
PhysioNet/CinC 2020,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/PhysioNet_CinC_2020.txt,
PhysioNet/CinC 2020,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/PhysioNet_CinC_2020.txt,
PhysioNet/CinC 2020,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/PhysioNet_CinC_2020.txt,
PhysioNet/CinC 2020,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/PhysioNet_CinC_2020.txt,
PMC-Patients,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/PMC-Patients.txt,
PMC-Patients,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/PMC-Patients.txt,
PMC-Patients,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/PMC-Patients.txt,
PMC-Patients,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/PMC-Patients.txt,
PMC-Patients,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/PMC-Patients.txt,
PubMedQA,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/PubMedQA.txt,
PubMedQA,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/PubMedQA.txt,
PubMedQA,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/PubMedQA.txt,
PubMedQA,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/PubMedQA.txt,
PubMedQA,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/PubMedQA.txt,
Sleep-EDF Expanded,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/Sleep-EDF_Expanded.txt,
Sleep-EDF Expanded,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/Sleep-EDF_Expanded.txt,
Sleep-EDF Expanded,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/Sleep-EDF_Expanded.txt,
Sleep-EDF Expanded,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/Sleep-EDF_Expanded.txt,
Sleep-EDF Expanded,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/Sleep-EDF_Expanded.txt,
Tabula Sapiens,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/Tabula_Sapiens.txt,
Tabula Sapiens,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/Tabula_Sapiens.txt,
Tabula Sapiens,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/Tabula_Sapiens.txt,
Tabula Sapiens,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/Tabula_Sapiens.txt,
Tabula Sapiens,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/Tabula_Sapiens.txt,
TCGA,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/TCGA.txt,
TCGA,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/TCGA.txt,
TCGA,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/TCGA.txt,
TCGA,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/TCGA.txt,
TCGA,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/TCGA.txt,
TotalSegmentator,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/TotalSegmentator.txt,
TotalSegmentator,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/TotalSegmentator.txt,
TotalSegmentator,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/TotalSegmentator.txt,
TotalSegmentator,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/TotalSegmentator.txt,
TotalSegmentator,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/TotalSegmentator.txt,
UK Biobank,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/UK_Biobank.txt,
UK Biobank,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/UK_Biobank.txt,
UK Biobank,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/UK_Biobank.txt,
UK Biobank,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/UK_Biobank.txt,
UK Biobank,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/UK_Biobank.txt,
VinDr-CXR,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/VinDr-CXR.txt,
VinDr-CXR,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/VinDr-CXR.txt,
VinDr-CXR,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/VinDr-CXR.txt,
VinDr-CXR,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/VinDr-CXR.txt,
VinDr-CXR,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/VinDr-CXR.txt,
